epoch,step,loss_total,loss_ce,loss_bbox,loss_giou,cardinality_error
1,0,2.403747081756592,2.166591167449951,0.0257710125297307,0.0541504025459289,70.0
1,1,2.866771936416626,2.2808516025543213,0.0223462469875812,0.2370945215225219,84.5
1,2,3.0262115001678467,2.224278211593628,0.0324055105447769,0.3199528455734253,27.5
1,3,2.95267653465271,2.231945276260376,0.051024429500103,0.2328045666217804,84.5
1,4,2.296907424926758,2.15509033203125,0.0185561403632164,0.0245183110237121,53.5
1,5,3.432992935180664,2.224477767944336,0.0292931292206048,0.5310248136520386,72.5
1,6,2.3626723289489746,2.181690216064453,0.0248285345733165,0.0284197740256786,71.5
1,7,2.961219310760498,2.200021266937256,0.0371373072266578,0.2877557575702667,72.5
1,8,2.3294155597686768,2.1408796310424805,0.0240773633122444,0.0340745151042938,76.0
1,9,2.882543563842773,2.263659715652466,0.0175565984100103,0.265550434589386,64.5
1,10,2.569493770599365,2.1396384239196777,0.0423873029649257,0.1089594960212707,56.5
1,11,2.508077383041382,2.0361006259918213,0.0281134042888879,0.1657048314809799,41.5
1,12,2.632031202316284,2.2673370838165283,0.0356634184718132,0.0931885167956352,54.5
1,13,2.6803770065307617,2.194880723953247,0.0246778726577758,0.1810533702373504,28.5
1,14,2.357846260070801,2.159090280532837,0.0245471000671386,0.0380102097988128,69.0
1,15,2.463986158370972,2.1758065223693848,0.0205106865614652,0.0928131267428398,64.5
1,16,2.4663026332855225,2.1920571327209477,0.0245490688830614,0.0757500976324081,72.0
1,17,2.462362051010132,2.1641621589660645,0.0279082190245389,0.0793293267488479,89.0
1,18,2.563539981842041,2.148372173309326,0.0343563221395015,0.1216931343078613,61.0
1,19,3.3245091438293457,2.207216501235962,0.0642277225852012,0.3980770111083984,32.0
1,20,2.896406888961792,2.2258431911468506,0.0329909026622772,0.2528046369552612,56.5
1,21,2.562803030014038,2.1455862522125244,0.0191551223397254,0.1607205867767334,49.5
1,22,2.5958871841430664,2.0906765460968018,0.0337316691875457,0.1682762205600738,67.5
1,23,2.2608895301818848,2.094653606414795,0.0176015701144933,0.0391140580177307,45.5
1,24,2.5973246097564697,2.1482112407684326,0.0224941708147525,0.1683212667703628,36.0
