image_id,file_name,type,gt_label,pred_label,score,iou
724,000000000724.jpg,missed_object,car,,,0
724,000000000724.jpg,false_positive,,car,0.44116833806037903,0.4782
8021,000000008021.jpg,missed_object,bottle,,,0
8021,000000008021.jpg,missed_object,bottle,,,0
8021,000000008021.jpg,missed_object,bottle,,,0
8021,000000008021.jpg,false_positive,,person,0.9683678150177002,0.8263
9483,000000009483.jpg,false_positive,,person,0.9916524291038513,0.0
9483,000000009483.jpg,false_positive,,chair,0.9337109923362732,0.0
9483,000000009483.jpg,false_positive,,chair,0.6417303681373596,0.0223
9483,000000009483.jpg,false_positive,,chair,0.9506268501281738,0.0
9483,000000009483.jpg,false_positive,,chair,0.9334471821784973,0.0
9483,000000009483.jpg,false_positive,,chair,0.5339105129241943,0.0
11197,000000011197.jpg,missed_object,person,,,0
11197,000000011197.jpg,false_positive,,car,0.3873010277748108,0.267
11197,000000011197.jpg,false_positive,,car,0.8950103521347046,0.0
11197,000000011197.jpg,false_positive,,car,0.8092585802078247,0.0
11197,000000011197.jpg,false_positive,,person,0.9820516705513,0.5983
11813,000000011813.jpg,localization_error,chair,chair,0.9223939180374146,0.2042
11813,000000011813.jpg,false_positive,,bottle,0.6421078443527222,0.0
16228,000000016228.jpg,localization_error,person,person,0.9711471796035767,0.4357
16228,000000016228.jpg,localization_error,person,person,0.503402590751648,0.424
16228,000000016228.jpg,missed_object,person,,,0
16228,000000016228.jpg,false_positive,,person,0.91404789686203,0.1123
16228,000000016228.jpg,false_positive,,person,0.8609217405319214,0.0
16228,000000016228.jpg,false_positive,,person,0.33706843852996826,0.0568
16228,000000016228.jpg,false_positive,,person,0.8660537600517273,0.1366
16228,000000016228.jpg,false_positive,,person,0.9411525130271912,0.6568
16228,000000016228.jpg,false_positive,,person,0.35397371649742126,0.1411
16228,000000016228.jpg,false_positive,,person,0.9490957260131836,0.0
16228,000000016228.jpg,false_positive,,person,0.5895929932594299,0.0653
16228,000000016228.jpg,false_positive,,person,0.8230200409889221,0.0823
16228,000000016228.jpg,false_positive,,person,0.33901944756507874,0.1105
16228,000000016228.jpg,false_positive,,person,0.9615779519081116,0.0238
16228,000000016228.jpg,false_positive,,person,0.34721696376800537,0.0
16228,000000016228.jpg,false_positive,,person,0.9006583094596863,0.2677
16228,000000016228.jpg,false_positive,,person,0.45850858092308044,0.2798
16228,000000016228.jpg,false_positive,,person,0.6792325377464294,0.0628
16228,000000016228.jpg,false_positive,,person,0.8121746182441711,0.0394
16228,000000016228.jpg,false_positive,,person,0.8611487746238708,0.0
16228,000000016228.jpg,false_positive,,person,0.8147839307785034,0.0
16228,000000016228.jpg,false_positive,,person,0.5036579966545105,0.0348
16228,000000016228.jpg,false_positive,,person,0.7181652188301086,0.1533
16228,000000016228.jpg,false_positive,,person,0.4167979657649994,0.114
16228,000000016228.jpg,false_positive,,person,0.5868949294090271,0.1824
17627,000000017627.jpg,localization_error,car,car,0.9171062707901001,0.324
17627,000000017627.jpg,localization_error,car,car,0.9107331037521362,0.4744
17627,000000017627.jpg,localization_error,person,person,0.5421581864356995,0.4178
17627,000000017627.jpg,missed_object,bus,,,0
17627,000000017627.jpg,false_positive,,person,0.8358925580978394,0.0
17627,000000017627.jpg,false_positive,,person,0.7434965968132019,0.0383
17627,000000017627.jpg,false_positive,,car,0.31588324904441833,0.4788
17627,000000017627.jpg,false_positive,,car,0.40583840012550354,0.3197
17627,000000017627.jpg,false_positive,,person,0.3906194269657135,0.0419
17627,000000017627.jpg,false_positive,,car,0.4805019497871399,0.2828
17627,000000017627.jpg,false_positive,,truck,0.3839048445224762,0.7196
17627,000000017627.jpg,false_positive,,car,0.9259328246116638,0.8985
23899,000000023899.jpg,localization_error,person,person,0.9724150896072388,0.4968
23899,000000023899.jpg,false_positive,,person,0.40384113788604736,0.548
